Palabra,Definición
Abnegado,
Abstruso,Que es dificil de comprender
Abyecto,Que comete actos despreciables o viles.
Acribia,
Acucioso,"Diligente, solícito, presuroso."
Acuidad,Agudeza.
Acurado,Cuidadoso y esmerado.
Admonitor,Que sirve para amonestar o tiene carácter de admonición.
Aducir,"Presentar o alegar pruebas, razones, etc."
Advenedizo,"Que se ha introducido en una posición, un ambiente o una actividad que no le corresponde por capacidad."
Aflicción,Abatimiento y tristeza.
Agnotología,
Albéitar,"Nombre que se daba antiguamente al veterinario; se usa todavía hoy en algunas zonas de España, especialmente en el ámbito rural."
Alborozo,Extraordinario desorden. Extraordinario regocijo o alegría.
Aldabonazo,
Algara,Tropa de a caballo que salía a correr y saquear la tierra del enemigo.
Algazara,"Ruido, gritería de una o de muchas personas juntas, que por lo común nace de alegría. Vocería de los moros y de otras tropas, al sorprender o acometer al enemigo."
Allende,Más allá de.
Altanero,Que se cree superior a los que le rodean por su posición social o económica o por alguna cualidad especial y que lo demuestra con un trato distante o despreciativo hacia los demás.
Altozano,Cerro o monte de poca altura en terreno llano.
Anacoreta,"Persona que vive en lugar solitario, entregada enteramente a la contemplación y a la penitencia."
Anatema,"Maldición, imprecación."
Anatematizar,"Condenar o reprobar a una persona o una cosa (actitud, ideología, etc.) que se considera perjudicial."
Apócrifo,Falso o fingido.
Apodíctico,"Incondicionalmente cierto, necesariamente válido."
Apologética,
Apoltronado,Que está cómodamente instalado y sin ganas de nuevas actividades.
Apóstata,Persona que abandona sus ideales o su religión públicamente para seguir otros diferentes.
Arbitrio,
Ardid,Acción hábil con que se pretende engañar a alguien o conseguir algo.
Autólogo,
Avezado,"Ducho, experimentado en algo."
Avisado,
Ayo,Persona encargada en las casas principales de custodiar niños o jóvenes y de cuidar de su crianza y educación.
Baldón,
Blenorragia,Gonorrea.
Bogar,Remar.
Cándido,"Ingenuo, que no tiene malicia ni doblez."
